"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Tue Nov 28 12:48:48 +0000 2023","1729482471555965248","-star guys seatplan yoasobi nih harganya lumayan murah 🥹🥹 sapa yg mau nontonnn???? https://t.co/o0E7OtZkmi","262","101","16","189","in","1210342758029807616","1729482471555965248","starfess","https://twitter.com/starfess/status/1729482471555965248","https://pbs.twimg.com/media/GABbJDeaMAArAxV.jpg","RULES DI LINK"
"Sun Nov 26 05:03:01 +0000 2023","1728640478655152386","Dijual murah gentong bernyawa buat modal nonton konser yoasobi  750jt deal nego tipis bonus bapaknya https://t.co/k80geXzWi6","0","4","0","71","in","1684874639095504896","1728640478655152386","ikikemul","https://twitter.com/ikikemul/status/1728640478655152386","https://pbs.twimg.com/media/F_1dWntasAA3Cti.jpg",""
"Wed Nov 29 07:40:03 +0000 2023","1729767163513180233","Wah ternyata lebih murah harga tiket konser Yoasobi di korea dibanding Jakarta    1 45 jt (KRW 121 000) sydag termasuk pajak dan seating bebas.   Padahal UMR Seoul 24 juta sebulan😭 https://t.co/ns5REDzYER","51","28","164","525","in","1270376404551524353","1729767163513180233","anggapph2","https://twitter.com/anggapph2/status/1729767163513180233","https://pbs.twimg.com/media/GAFbVzBbQAAnRRU.png","Tuan/His Excellency"
"Tue Nov 28 12:51:45 +0000 2023","1729483216208461957","HAHH YOASOBI MURAH WKWKW https://t.co/rrdrl1o2ux","4","14","0","0","in","834757717109592065","1729483216208461957","jingriu","https://twitter.com/jingriu/status/1729483216208461957","https://pbs.twimg.com/media/GABb0Boa0AE-was.jpg","DO NOT FOLLOW FIRST 21+ / Dif "
"Tue Nov 28 13:50:03 +0000 2023","1729497887367741494","yoasobi KOK MURAH","0","4","0","0","in","1284418217989910528","1729497887367741494","melozicam","https://twitter.com/melozicam/status/1729497887367741494","",""
"Tue Nov 28 13:18:33 +0000 2023","1729489958459834797","TIKET YOASOBI FESTNYA KOK MURAH HEE?!?! 😭😭","0","2","0","1","in","1176437339242950657","1729489958459834797","Supervoid_","https://twitter.com/Supervoid_/status/1729489958459834797","","［ olympus ］"
"Tue Nov 28 13:38:15 +0000 2023","1729494918459256936","warga +62 keseringan lihat pricelist konser bernominal UMR sampai tiket yoasobi 1-2 juta auto bilang "MURAH BANGET"","1107","75","2146","6908","in","43897705","1729494918459256936","jilansy","https://twitter.com/jilansy/status/1729494918459256936","","Lang:🇮🇩🇬🇧🇯🇵 Topic:📚🎬☕️"
"Tue Nov 28 12:29:32 +0000 2023","1729477624240746627","WEH!! Price list Yoasobi udah keluar! Ini terbilang murah nggak sihhh😆 tapi 1 Desember Jumat besok banget banget nihhhhhh?!!!😭 https://t.co/6D7sySod91","0","1","0","0","in","1352998625178128384","1729477624240746627","Sherrry_9712","https://twitter.com/Sherrry_9712/status/1729477624240746627","https://pbs.twimg.com/media/GABWuoobkAArOs7.jpg",""
"Tue Nov 28 12:29:21 +0000 2023","1729477577272877169","TIKET YOASOBI MURAH AMAY??????","0","2","0","0","in","1329376641001213953","1729477577272877169","tincggi","https://twitter.com/tincggi/status/1729477577272877169","",""
"Tue Nov 28 14:06:53 +0000 2023","1729502123224695017","Jujur tiket Yoasobi ini ga mahal bgt. Emg gwnya aja yg terlalu miskin😭 https://t.co/JztdQnaoo0","0","0","0","0","in","1371386057216860164","1729502123224695017","cristhgrande","https://twitter.com/cristhgrande/status/1729502123224695017","https://pbs.twimg.com/media/GABtA6hXsAAWPa6.jpg","west side"
"Sun Nov 26 00:39:54 +0000 2023","1728574263563825292","Thanks trakteernya semoga puas 🙏 Sgtu aja leak nya konten full bisa beli langsung ke orangnya   mahal bjirr :v  Link https://t.co/7GrF54RpZy  Donate/req https://t.co/WPI4mpFU0v  FIFA Kelas 12 PSSI Nanami Firli Krystal Gemoy Cinta Laura YOASOBI bambam Mendung Liverpool #Mydemon https://t.co/6xJSnpeqDi","0","0","7","23","in","1699302320461504512","1728574263563825292","arielgamtenk","https://twitter.com/arielgamtenk/status/1728574263563825292","https://pbs.twimg.com/media/F_0hIQWakAAL9G9.jpg","New Jersey, USA"
"Tue Nov 28 13:46:02 +0000 2023","1729496877639594172","nonton yoasobi di jepang langsung aja lebih murah 🤣","0","2","3","5","in","116441804","1729496877639594172","hazumidayo","https://twitter.com/hazumidayo/status/1729496877639594172","","Kanazawa-shi, Ishikawa"
"Wed Nov 29 04:37:44 +0000 2023","1729721280193056801","pl yoasobi murah juga ya 🥲","0","2","0","0","in","1235722780500307968","1729721280193056801","kaashisme","https://twitter.com/kaashisme/status/1729721280193056801","","she/her"
"Tue Nov 28 16:21:48 +0000 2023","1729536077986460022","mahal bgtsih tiket yoasobi 🥲🥲🥲🥲","0","1","0","0","in","1450976934515523584","1729536077986460022","trik0i","https://twitter.com/trik0i/status/1729536077986460022","",""
"Tue Nov 28 12:31:20 +0000 2023","1729478076780990632","Gas gak sih ini yoasobi murah tiket kapan jual","0","1","0","0","in","587323149","1729478076780990632","ddumptra5h","https://twitter.com/ddumptra5h/status/1729478076780990632","","indonesia"
"Wed Nov 29 05:42:51 +0000 2023","1729737668076986429","yoasobi murah bgt bjir aku ingin sekali😭","0","2","0","0","in","807821623457816576","1729737668076986429","qkrtn_","https://twitter.com/qkrtn_/status/1729737668076986429","","main: 레드벨벳💚 | 🏹🎏•⛩️"
"Tue Nov 28 12:07:05 +0000 2023","1729471976249676191","FAKLAHHHH TIKET YOASOBI MURAH BANGET 😭 https://t.co/ndZewpqtvh","0","2","0","0","in","215162965","1729471976249676191","foresyadow","https://twitter.com/foresyadow/status/1729471976249676191","https://pbs.twimg.com/media/GABRmNGbUAAbDYI.jpg","🇮🇩 | a bit selective!"
"Wed Nov 29 05:10:30 +0000 2023","1729729527935381902","Yoasobi murah bgt 😭😭","0","3","0","0","in","1608451278551777281","1729729527935381902","j3_inhyeong","https://twitter.com/j3_inhyeong/status/1729729527935381902","",""
"Wed Nov 29 07:47:13 +0000 2023","1729768965964959949","Yoasobi di Istora sumpah ini murah banget ketimbang konser Korea sih. Warnya pasti bersama para wibu https://t.co/bJW8RFeGCe","0","2","0","0","in","134371324","1729768965964959949","NachosMoving","https://twitter.com/NachosMoving/status/1729768965964959949","https://pbs.twimg.com/media/GAFftP1aQAAlipF.jpg",""
"Mon Nov 27 04:10:14 +0000 2023","1728989583139033135","MAHAL NYA YA AULOH!  IVE OIII AKU NAK KOREK DUIT KAT MANA!!!???  CF LAGI  YOASOBI LAGI. https://t.co/XQmaf8RyWY","0","1","0","1","in","990044730326110208","1728989583139033135","gatto_nkmaco","https://twitter.com/gatto_nkmaco/status/1728989583139033135","https://pbs.twimg.com/tweet_video_thumb/F_6a24sbAAAurSv.jpg","Ampang, Wilayah Persekutuan Ku"
"Tue Nov 28 15:17:58 +0000 2023","1729520012245999829","Banyak yg bilang tiket konser Yoasobi di Istora terbilang murah berarti orang yg penghasilan di atas rata2 orang Indonesia yg jadi wibu sekarang udah lumayan banyak ya?  Kenapa gw bukan salah satunya? 😭 https://t.co/TWIOhe8WuP","0","2","0","2","in","1081815945939546113","1729520012245999829","astroharis","https://twitter.com/astroharis/status/1729520012245999829","https://pbs.twimg.com/media/GAB9RulaMAAQx4B.jpg","Tobetsu-cho, Hokkaidō"
"Tue Nov 28 12:45:01 +0000 2023","1729481522884010471","FAKKKK MURAH COK YOASOBI qlhdakgdakfxdwlgdwlhaxllyadxlyx https://t.co/AglgID08ep","0","1","0","0","in","977445899361124352","1729481522884010471","Yerwonie","https://twitter.com/Yerwonie/status/1729481522884010471","https://pbs.twimg.com/media/GABaRo6b0AAfzn3.jpg","Tokyo-to, Japan"
"Wed Nov 29 08:50:35 +0000 2023","1729784910552981828","Weh tiket yoasobi tu beneran kh?😭 murah banget😭😭 maw nonton😭😭😭","0","2","0","0","in","1582661338291400705","1729784910552981828","njskyaegi","https://twitter.com/njskyaegi/status/1729784910552981828","",""
"Tue Nov 28 13:35:18 +0000 2023","1729494174381326537","ANYING TIKET YOASOBI MURAH BANGET 😭","0","2","0","0","in","1513534505285750791","1729494174381326537","L0IDF0RGER","https://twitter.com/L0IDF0RGER/status/1729494174381326537","","He/My | ♊ bitches— 20+ 🇮🇩"
"Tue Nov 28 12:06:36 +0000 2023","1729471851485945981","ADUH YOASOBI PALING MURAH 1.3 BAJINGANN","0","2","0","1","in","1116336985902174208","1729471851485945981","parkinguyvalet","https://twitter.com/parkinguyvalet/status/1729471851485945981","","Wakanda"
"Tue Nov 28 12:14:34 +0000 2023","1729473859903160658","Bjirrrr ini yoasobi pricelist nya murah amat takut ga kedapetan 😫😫 https://t.co/V68l1g8LmV","0","1","0","0","in","1409208866621980674","1729473859903160658","hoshiigumi","https://twitter.com/hoshiigumi/status/1729473859903160658","https://pbs.twimg.com/media/GABTTmnaQAATAv8.jpg",""
